build_utc,river,place,lat,lon,q_now_m3s,pct_of_median,date,q_forecast_from_date
2026-09-26T05:05Z,Indus,Leh,34.13,77.45,268.77,154,2026-09-26,"[268.77, 257.82, 249.03, 242.22, 235.05, 227.56, 219.8]"
2026-09-26T05:05Z,Indus,Skardu,35.48,75.4,1217.99,132,2026-09-26,"[1217.99, 1184.77, 1147.15, 1113.29, 1082.93, 1053.39, 1022.29]"
2026-09-26T05:05Z,Jhelum,Srinagar,34.23,74.65,224.94,89,2026-09-26,"[224.94, 220.31, 216.27, 212.3, 207.93, 203.17, 198.99]"
2026-09-26T05:05Z,Chenab,Akhnoor,32.815,74.59,471.06,84,2026-09-26,"[471.06, 460.32, 450.86, 442.61, 431.51, 421.67, 412.05]"
2026-09-26T05:05Z,Sutlej,Rampur,31.375,77.48,240.55,111,2026-09-26,"[240.55, 237.23, 237.78, 238.33, 235.05, 230.21, 225.46]"
2026-09-26T05:05Z,Beas,Mandi,31.785,76.855,316.69,90,2026-09-26,"[316.69, 310.89, 305.9, 303.09, 298.92, 293.44, 288.07]"
2026-09-26T05:05Z,Yamuna,Dakpathar,30.425,77.65,424.6,108,2026-09-26,"[424.6, 413.95, 427.55, 439.55, 429.53, 412.05, 394.37]"
2026-09-26T05:05Z,Ganga,Rishikesh,29.95,78.15,925.83,105,2026-09-26,"[925.83, 936.56, 1027.02, 1115.86, 1108.18, 1063.14, 1017.59]"
2026-09-26T05:05Z,Alaknanda,Srinagar (Garhwal),30.22,78.63,478.73,110,2026-09-26,"[478.73, 468.89, 513.04, 556.19, 549.81, 529.88, 509.5]"
2026-09-26T05:05Z,Kali / Sharda,Tanakpur,28.92,79.96,919.45,89,2026-09-26,"[919.45, 1287.25, 1366.73, 1385.76, 1326.39, 1246.38, 1182.04]"
2026-09-26T05:05Z,Karnali,Chisapani,28.565,81.215,3302.7,132,2026-09-26,"[3302.7, 5235.01, 4987.84, 4225.69, 3757.37, 3458.39, 3249.87]"
2026-09-26T05:05Z,Narayani / Gandaki,Narayanghat,27.7,84.355,4741.42,159,2026-09-26,"[4741.42, 6279.59, 6024.6, 5068.91, 4404.55, 4007.67, 3740.11]"
2026-09-26T05:05Z,Koshi,Chatara,26.795,87.085,5210.95,152,2026-09-26,"[5210.95, 4486.45, 3862.67, 3514.6, 3287.52, 3103.56, 2963.83]"
2026-09-26T05:05Z,Teesta,Sevoke,26.75,88.545,1347.96,156,2026-09-26,"[1347.96, 1190.24, 1041.32, 921.57, 821.24, 738.61, 673.53]"
2026-09-26T05:05Z,Siang / Brahmaputra,Pasighat,28.06,95.33,5022.43,90,2026-09-26,"[5022.43, 4807.39, 4601.57, 4424.88, 4245.2, 4101.04, 3989.25]"
2026-09-26T13:08Z,Indus,Leh,34.13,77.45,268.77,154,2026-09-26,"[268.77, 257.82, 248.46, 240.55, 232.35, 224.94, 217.78]"
2026-09-26T13:08Z,Indus,Skardu,35.48,75.4,1217.99,132,2026-09-26,"[1217.99, 1187.5, 1149.8, 1113.29, 1077.95, 1048.54, 1019.94]"
2026-09-26T13:08Z,Jhelum,Srinagar,34.23,74.65,224.94,89,2026-09-26,"[224.94, 221.84, 217.27, 212.8, 208.41, 204.12, 199.91]"
2026-09-26T13:08Z,Chenab,Akhnoor,32.815,74.59,471.06,84,2026-09-26,"[471.06, 459.26, 449.82, 440.57, 430.52, 419.73, 411.1]"
2026-09-26T13:08Z,Sutlej,Rampur,31.375,77.48,240.55,111,2026-09-26,"[240.55, 237.78, 238.88, 239.44, 237.23, 231.81, 227.03]"
2026-09-26T13:08Z,Beas,Mandi,31.785,76.855,316.69,90,2026-09-26,"[316.69, 310.89, 305.2, 302.39, 297.54, 292.76, 287.4]"
2026-09-26T13:08Z,Yamuna,Dakpathar,30.425,77.65,424.6,108,2026-09-26,"[424.6, 419.73, 447.75, 464.59, 458.2, 439.55, 419.73]"
2026-09-26T13:08Z,Ganga,Rishikesh,29.95,78.15,925.83,105,2026-09-26,"[925.83, 951.8, 1041.32, 1134.01, 1128.8, 1082.93, 1038.92]"
2026-09-26T13:08Z,Alaknanda,Srinagar (Garhwal),30.22,78.63,478.73,110,2026-09-26,"[478.73, 469.98, 513.04, 557.47, 553.63, 533.56, 514.23]"
2026-09-26T13:08Z,Kali / Sharda,Tanakpur,28.92,79.96,919.45,89,2026-09-26,"[919.45, 1168.5, 1299.17, 1360.44, 1314.22, 1243.51, 1182.04]"
2026-09-26T13:08Z,Karnali,Chisapani,28.565,81.215,3302.7,132,2026-09-26,"[3302.7, 5235.01, 5045.61, 4225.69, 3722.92, 3426.68, 3212.66]"
2026-09-26T13:08Z,Narayani / Gandaki,Narayanghat,27.7,84.355,4741.42,159,2026-09-26,"[4741.42, 6806.69, 6323.12, 5198.96, 4559.37, 4167.69, 3889.45]"
2026-09-26T13:08Z,Koshi,Chatara,26.795,87.085,5210.95,152,2026-09-26,"[5210.95, 4829.59, 4110.5, 3680.29, 3410.93, 3212.66, 3060.96]"
2026-09-26T13:08Z,Teesta,Sevoke,26.75,88.545,1347.96,156,2026-09-26,"[1347.96, 1204.04, 1043.72, 923.7, 823.14, 738.61, 670.43]"
